irs_elements,regions,user_count,estimated_latency_ms,estimated_memory_mb,validation_latency_ms,fusion_latency_ms,llm_latency_ms,sync_overhead_ms
64,8,5,1.229,1800.00634765625,0.04,0.004,0.84,0.085
64,8,10,1.2380000000000002,1800.012451171875,0.04,0.008,0.84,0.09
64,8,25,1.2650000000000001,1800.03076171875,0.04,0.02,0.84,0.10500000000000001
64,8,50,1.31,1800.061279296875,0.04,0.04,0.84,0.13
64,8,100,1.4,1800.122314453125,0.04,0.08,0.84,0.18
128,16,5,1.4162000000000001,1800.006591796875,0.08,0.004,0.9072,0.165
128,16,10,1.4252,1800.0126953125,0.08,0.008,0.9072,0.17
128,16,25,1.4522000000000002,1800.031005859375,0.08,0.02,0.9072,0.185
128,16,50,1.4972,1800.0615234375,0.08,0.04,0.9072,0.21000000000000002
128,16,100,1.5872000000000002,1800.12255859375,0.08,0.08,0.9072,0.26
256,32,5,1.7233999999999998,1800.007080078125,0.16,0.004,0.9743999999999999,0.325
256,32,10,1.7324,1800.01318359375,0.16,0.008,0.9743999999999999,0.33
256,32,25,1.7593999999999999,1800.031494140625,0.16,0.02,0.9743999999999999,0.34500000000000003
256,32,50,1.8043999999999998,1800.06201171875,0.16,0.04,0.9743999999999999,0.37
256,32,100,1.8944,1800.123046875,0.16,0.08,0.9743999999999999,0.42000000000000004
512,64,5,2.2706,1800.008056640625,0.32,0.004,1.0415999999999999,0.645
512,64,10,2.2796,1800.01416015625,0.32,0.008,1.0415999999999999,0.65
512,64,25,2.3066,1800.032470703125,0.32,0.02,1.0415999999999999,0.665
512,64,50,2.3516,1800.06298828125,0.32,0.04,1.0415999999999999,0.6900000000000001
512,64,100,2.4416,1800.1240234375,0.32,0.08,1.0415999999999999,0.74
1024,128,5,3.2977999999999996,1800.010009765625,0.64,0.004,1.1088,1.285
1024,128,10,3.3068,1800.01611328125,0.64,0.008,1.1088,1.29
1024,128,25,3.3338,1800.034423828125,0.64,0.02,1.1088,1.305
1024,128,50,3.3788,1800.06494140625,0.64,0.04,1.1088,1.33
1024,128,100,3.4688,1800.1259765625,0.64,0.08,1.1088,1.3800000000000001
